"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Legislation_type","Geography","Geography_type","Number of stop and searches","Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported)","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","Merseyside","Police Force Area","20","35,855","2,366","8.45","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","Merseyside","Police Force Area","24","24,523","2,366","10.14","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","Merseyside","Police Force Area","2","6,450","2,366","0.85","0",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","Merseyside","Police Force Area","4","6,650","2,366","1.69","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","Merseyside","Police Force Area","1","9,257","2,366","0.42","0",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","Merseyside","Police Force Area","13","17576","2366","5.49","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","Merseyside","Police Force Area","45","29408","2366","19.02","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","9,194","294,467","221,895","41.43","3.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","15,061","448,957","221,895","67.87","3.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","27,062","721,451","221,895","121.96","3.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","26,865","624,009","221,895","121.07","4.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","24,793","560,544","221,895","111.73","4.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","21,522","480,702","221,895","96.99","4.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","13,740","338,973","221,895","61.92","4.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","10,547","270,086","221,895","47.53","3.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","5,329","157,738","221,895","24.02","3.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","5,982","140,198","221,895","26.96","4.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","4,661","121,607","221,895","21.01","3.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","5,080","116,385","221,895","22.89","4.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","8483","149592","221895","38.23","5.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","Metropolitan Police","Police Force Area","10616","219569","221895","47.84","4.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","Norfolk","Police Force Area","45","8,298","933","48.23","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","Norfolk","Police Force Area","25","8,541","933","26.8","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","Norfolk","Police Force Area","61","11,467","933","65.38","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","Norfolk","Police Force Area","64","13,075","933","68.6","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","Norfolk","Police Force Area","61","15,350","933","65.38","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","Norfolk","Police Force Area","29","16,047","933","31.08","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","Norfolk","Police Force Area","27","14,297","933","28.94","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","Norfolk","Police Force Area","25","13,070","933","26.8","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","Norfolk","Police Force Area","15","9,226","933","16.08","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","Norfolk","Police Force Area","14","5,277","933","15.01","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","Norfolk","Police Force Area","12","3,682","933","12.86","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","Norfolk","Police Force Area","13","2,075","933","13.93","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","Norfolk","Police Force Area","6","2707","933","6.43","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","Norfolk","Police Force Area","9","4229","933","9.65","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","North Wales","Police Force Area","9","14,537","903","9.97","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","North Wales","Police Force Area","10","11,940","903","11.07","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","North Wales","Police Force Area","5","8,229","903","5.54","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","North Wales","Police Force Area","2","6,212","903","2.21","0",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","North Wales","Police Force Area","11","6,169","903","12.18","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","North Wales","Police Force Area","11","3,661","903","12.18","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","North Wales","Police Force Area","4","4,750","903","4.43","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","North Wales","Police Force Area","14","5,097","903","15.5","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","North Wales","Police Force Area","3","2,419","903","3.32","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","North Wales","Police Force Area","2","1,521","903","2.21","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","North Wales","Police Force Area","3","1,622","903","3.32","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","North Wales","Police Force Area","2","1,527","903","2.21","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","North Wales","Police Force Area","3","1734","903","3.32","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","North Wales","Police Force Area","3","4684","903","3.32","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","North Yorkshire","Police Force Area","17","9,415","645","26.36","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","North Yorkshire","Police Force Area","17","9,429","645","26.36","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","North Yorkshire","Police Force Area","17","9,086","645","26.36","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","North Yorkshire","Police Force Area","19","6,260","645","29.46","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","North Yorkshire","Police Force Area","6","5,649","645","9.3","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","North Yorkshire","Police Force Area","8","7,379","645","12.4","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","North Yorkshire","Police Force Area","4","7,032","645","6.2","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","North Yorkshire","Police Force Area","19","7,685","645","29.46","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","North Yorkshire","Police Force Area","6","6,310","645","9.3","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","North Yorkshire","Police Force Area","17","4,214","645","26.36","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","North Yorkshire","Police Force Area","11","2,465","645","17.05","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","North Yorkshire","Police Force Area","4","1,671","645","6.2","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","North Yorkshire","Police Force Area","3","1753","645","4.65","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","North Yorkshire","Police Force Area","8","2220","645","12.4","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","Northamptonshire","Police Force Area","216","13,176","4,264","50.66","1.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","Northamptonshire","Police Force Area","206","14,036","4,264","48.31","1.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","Northamptonshire","Police Force Area","136","11,542","4,264","31.89","1.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","Northamptonshire","Police Force Area","240","11,737","4,264","56.29","2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","Northamptonshire","Police Force Area","228","12,681","4,264","53.47","1.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","Northamptonshire","Police Force Area","123","8,453","4,264","28.85","1.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","Northamptonshire","Police Force Area","83","9,030","4,264","19.47","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","Northamptonshire","Police Force Area","115","8,427","4,264","26.97","1.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","Northamptonshire","Police Force Area","57","4,404","4,264","13.37","1.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","Northamptonshire","Police Force Area","24","1,752","4,264","5.63","1.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","Northamptonshire","Police Force Area","26","1,136","4,264","6.1","2.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","Northamptonshire","Police Force Area","36","1,090","4,264","8.44","3.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","Northamptonshire","Police Force Area","43","1960","4264","10.08","2.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","Northamptonshire","Police Force Area","38","2121","4264","8.91","1.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","Northumbria","Police Force Area","88","33,759","9,524","9.24","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","Northumbria","Police Force Area","129","28,937","9,524","13.54","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","Northumbria","Police Force Area","157","32,281","9,524","16.48","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","Northumbria","Police Force Area","209","39,383","9,524","21.94","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","Northumbria","Police Force Area","390","43,441","9,524","40.95","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","Northumbria","Police Force Area","319","40,654","9,524","33.49","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","Northumbria","Police Force Area","190","31,759","9,524","19.95","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","Northumbria","Police Force Area","241","37,843","9,524","25.3","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","Northumbria","Police Force Area","170","17,223","9,524","17.85","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","Northumbria","Police Force Area","60","7,055","9,524","6.3","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","Northumbria","Police Force Area","40","3,695","9,524","4.2","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","Northumbria","Police Force Area","29","2,857","9,524","3.04","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","Northumbria","Police Force Area","23","2831","9524","2.41","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","Northumbria","Police Force Area","45","5210","9524","4.72","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","22","8,640","1,649","13.34","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","6","5,848","1,649","3.64","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","2","4,556","1,649","1.21","0",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","11","5,451","1,649","6.67","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","9","4,528","1,649","5.46","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","13","3,320","1,649","7.88","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","1","3,384","1,649","0.61","0",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","12","5,166","1,649","7.28","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","4","3,762","1,649","2.43","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","3","2,417","1,649","1.82","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","0","1,573","1,649","-","0",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","0","1,449","1,649","-","0",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","5","2231","1649","3.03","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","Nottinghamshire","Police Force Area","5","3910","1649","3.03","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","South Wales","Police Force Area","54","18,023","7,479","7.22","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","South Wales","Police Force Area","81","18,952","7,479","10.83","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","South Wales","Police Force Area","64","18,463","7,479","8.56","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","South Wales","Police Force Area","50","15,846","7,479","6.69","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","South Wales","Police Force Area","43","13,847","7,479","5.75","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","South Wales","Police Force Area","51","13,948","7,479","6.82","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","South Wales","Police Force Area","39","10,083","7,479","5.21","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","South Wales","Police Force Area","59","12,879","7,479","7.89","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","South Wales","Police Force Area","33","7,782","7,479","4.41","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","South Wales","Police Force Area","24","6,058","7,479","3.21","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","South Wales","Police Force Area","16","4,851","7,479","2.14","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","South Wales","Police Force Area","48","5,868","7,479","6.42","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","South Wales","Police Force Area","57","9436","7479","7.62","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","South Wales","Police Force Area","115","11295","7479","15.38","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","South Yorkshire","Police Force Area","24","19,042","3,612","6.64","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","South Yorkshire","Police Force Area","21","20,530","3,612","5.81","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","South Yorkshire","Police Force Area","32","26,816","3,612","8.86","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","South Yorkshire","Police Force Area","36","27,555","3,612","9.97","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","South Yorkshire","Police Force Area","22","23,106","3,612","6.09","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","South Yorkshire","Police Force Area","28","17,674","3,612","7.75","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","South Yorkshire","Police Force Area","22","20,487","3,612","6.09","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","South Yorkshire","Police Force Area","17","21,218","3,612","4.71","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","South Yorkshire","Police Force Area","23","8,175","3,612","6.37","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","South Yorkshire","Police Force Area","3","3,521","3,612","0.83","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","South Yorkshire","Police Force Area","2","2,025","3,612","0.55","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","South Yorkshire","Police Force Area","1","1,529","3,612","0.28","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","South Yorkshire","Police Force Area","8","4681","3612","2.21","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","South Yorkshire","Police Force Area","25","12403","3612","6.92","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","Staffordshire","Police Force Area","51","19,146","1,748","29.18","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","Staffordshire","Police Force Area","58","17,186","1,748","33.18","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","Staffordshire","Police Force Area","31","10,309","1,748","17.73","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","Staffordshire","Police Force Area","18","7,655","1,748","10.3","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","Staffordshire","Police Force Area","42","11,170","1,748","24.03","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","Staffordshire","Police Force Area","59","18,903","1,748","33.75","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","Staffordshire","Police Force Area","38","18,950","1,748","21.74","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","Staffordshire","Police Force Area","36","14,538","1,748","20.59","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","Staffordshire","Police Force Area","15","6,012","1,748","8.58","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","Staffordshire","Police Force Area","6","3,847","1,748","3.43","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","Staffordshire","Police Force Area","7","3,563","1,748","4","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","Staffordshire","Police Force Area","8","2,601","1,748","4.58","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","Staffordshire","Police Force Area","8","3280","1748","4.58","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","Staffordshire","Police Force Area","24","5348","1748","13.73","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","Suffolk","Police Force Area","14","4,059","2,253","6.21","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","Suffolk","Police Force Area","25","5,373","2,253","11.1","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","Suffolk","Police Force Area","38","5,978","2,253","16.87","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","Suffolk","Police Force Area","35","4,262","2,253","15.53","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","Suffolk","Police Force Area","10","3,356","2,253","4.44","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","Suffolk","Police Force Area","19","3,310","2,253","8.43","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","Suffolk","Police Force Area","24","3,570","2,253","10.65","0.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","Suffolk","Police Force Area","114","5,049","2,253","50.6","2.3",""
